merchant_id,mid,merchant_name,country_code,segment,vertical,service,integration_type,settlement_type,account_manager,signup_date,live_date
M00196,EG284431976,Crescent Boutique,EG,SME,Retail,POS Acceptance,POS Terminal,Instant,Mai Ragab,2021-12-17,2022-01-11
M00197,EG823617801,Swift Bakery,EG,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Nadia Fouad,2021-12-17,2022-01-09
M00198,AE932795909,Oasis Pharmacy,AE,Enterprise,Healthcare,Online Checkout,E-commerce Plugin,T+1,Layla Haddad,2021-12-23,2021-12-28
M00199,EG816834588,Green Clinics,EG,SME,Healthcare,Payment Links,Payment Links,T+2,Karim Ezzat,2021-12-27,2021-12-31
M00200,AE520556972,Palm Telecom,AE,B2B,Telecom & Utilities,Payment Links,Payment Links,Weekly,Layla Haddad,2021-12-28,2022-01-02
M00201,AE333371080,Zenith Consulting,AE,SME,Professional Services,Payment Links,Payment Links,T+2,Layla Haddad,2021-12-30,2022-01-05
M00202,SA205739809,Amber Cafe,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,T+1,Turki Al-Shammari,2022-01-11,2022-01-30
M00203,SA545085858,Falcon Mart,SA,SME,Retail,Payment Links,Payment Links,T+2,Turki Al-Shammari,2022-01-17,2022-01-27
M00204,SA196173797,Swift Stores,SA,SME,Retail,POS Acceptance,POS Terminal,Instant,Turki Al-Shammari,2022-01-18,2022-02-20
M00205,EG275709942,Cedar Deals,EG,Enterprise,E-commerce,POS Acceptance,POS Terminal,T+1,Mai Ragab,2022-01-18,2022-02-21
M00206,EG911025364,Nova Bakery,EG,SME,Food & Beverage,Online Checkout,Hosted Checkout,T+1,Nadia Fouad,2022-01-18,2022-02-08
M00207,EG165126097,Palm Basket,EG,Online,E-commerce,Subscriptions,Direct API,T+2,Mai Ragab,2022-01-19,2022-04-14
M00208,AE678947423,Golden Shop,AE,Online,E-commerce,Online Checkout,Hosted Checkout,Instant,Layla Haddad,2022-01-26,2022-03-07
M00209,EG744158614,Zenith Basket,EG,Online,E-commerce,Subscriptions,Direct API,T+2,Mai Ragab,2022-01-27,2022-02-28
M00210,EG207904094,Oasis Wholesale,EG,B2B,Distribution & Wholesale,B2B Collections,Payment Links,Weekly,Karim Ezzat,2022-01-31,2022-02-08
M00211,SA794064500,Cedar Online,SA,Online,E-commerce,Online Checkout,Direct API,T+2,Turki Al-Shammari,2022-02-03,
M00212,AE346681166,Urban Shop,AE,Online,E-commerce,Online Checkout,E-commerce Plugin,T+2,Layla Haddad,2022-02-04,2022-02-19
M00213,EG622517179,Golden Bakery,EG,SME,Food & Beverage,Online Checkout,E-commerce Plugin,T+1,Hany Soliman,2022-02-06,2022-02-18
M00214,EG728979434,Crescent Services,EG,SME,Professional Services,POS Acceptance,POS Terminal,Instant,Hany Soliman,2022-02-06,2022-03-13
M00215,EG105628327,Green Online,EG,Online,E-commerce,Online Checkout,Hosted Checkout,T+1,Karim Ezzat,2022-02-06,2022-02-18
M00216,OM713381935,Horizon Schools,OM,Online,Education,Online Checkout,Hosted Checkout,T+1,Salim Al-Harthy,2022-02-08,2022-03-14
M00217,AE339334302,Silver Supply,AE,B2B,Distribution & Wholesale,B2B Collections,Direct API,Weekly,Yousef Al-Marri,2022-02-10,2022-03-30
M00218,EG935471821,Silver Kitchen,EG,SME,Food & Beverage,Payment Links,Payment Links,T+2,Nadia Fouad,2022-02-10,2022-02-12
M00219,EG768201701,Bright Roastery,EG,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Mai Ragab,2022-02-10,
M00220,EG998632198,Prime Cart,EG,Online,E-commerce,Online Checkout,Hosted Checkout,T+1,Hany Soliman,2022-02-14,2022-03-21
M00221,EG286990334,Amber Wholesale,EG,B2B,Distribution & Wholesale,Payment Links,Payment Links,Weekly,Hany Soliman,2022-02-19,2022-02-21
M00222,EG839115780,Golden Institute,EG,SME,Education,POS Acceptance,POS Terminal,Instant,Karim Ezzat,2022-02-20,2022-03-04
M00223,AE782539735,Urban Cloud,AE,Online,Digital Services,Online Checkout,Hosted Checkout,T+2,Layla Haddad,2022-02-21,2022-03-30
M00224,OM362279591,Nova Tours,OM,Online,Travel & Hospitality,Online Checkout,Direct API,T+2,Salim Al-Harthy,2022-02-23,2022-04-21
M00225,AE605101733,Urban Pharmacy,AE,SME,Healthcare,Payment Links,Payment Links,T+1,Yousef Al-Marri,2022-02-24,2022-03-03
M00226,EG987489356,Sand Cloud,EG,Online,Digital Services,Online Checkout,Hosted Checkout,Instant,Karim Ezzat,2022-02-26,2022-03-08
M00227,EG933744774,Oasis Freight,EG,B2B,Logistics,B2B Collections,Direct API,T+1,Nadia Fouad,2022-02-28,2022-06-22
M00228,AE123781768,Sand Bakery,AE,Enterprise,Food & Beverage,POS Acceptance,POS Terminal,T+1,Layla Haddad,2022-03-03,2022-04-02
M00229,OM509470813,Blue EdTech,OM,SME,Education,Online Checkout,Direct API,Instant,Salim Al-Harthy,2022-03-07,
M00230,AE174460555,Blue Online,AE,Online,E-commerce,Subscriptions,Direct API,Instant,Layla Haddad,2022-03-08,2022-04-14
M00231,EG613159214,Pearl Telecom,EG,B2B,Telecom & Utilities,B2B Collections,Payment Links,T+1,Hany Soliman,2022-03-09,2022-03-13
M00232,OM765991018,Metro Medical,OM,SME,Healthcare,Online Checkout,Direct API,T+2,Salim Al-Harthy,2022-03-10,2022-05-26
M00233,EG235600888,Bright EdTech,EG,Online,Education,Online Checkout,E-commerce Plugin,T+2,Karim Ezzat,2022-03-12,2022-03-22
M00234,EG485824653,Amber Supply,EG,B2B,Distribution & Wholesale,B2B Collections,Payment Links,Weekly,Nadia Fouad,2022-03-15,2022-03-18
M00235,AE707625102,Golden Services,AE,SME,,POS Acceptance,POS Terminal,T+2,Yousef Al-Marri,2022-03-16,2022-03-31
M00236,EG656793347,Zenith Supply,EG,B2B,Distribution & Wholesale,Payment Links,Payment Links,Weekly,Mai Ragab,2022-03-16,2022-03-20
M00237,SA796857151,Green Journeys,SA,Online,Travel & Hospitality,Online Checkout,Direct API,T+2,Turki Al-Shammari,2022-03-19,2022-06-21
M00238,AE162515553,Royal Travel,AE,Online,Travel & Hospitality,Online Checkout,Hosted Checkout,T+1,Layla Haddad,2022-03-21,2022-04-07
M00239,OM667112904,Crescent Roastery,OM,SME,Food & Beverage,POS Acceptance,POS Terminal,T+1,Salim Al-Harthy,2022-03-22,2022-04-19
M00240,SA508515348,Bright Basket,SA,Online,E-commerce,Online Checkout,Direct API,T+2,Reem Al-Ghamdi,2022-03-26,2022-04-30
M00241,EG799575469,Horizon Apps,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Nadia Fouad,2022-03-30,2022-06-19
M00242,SA190250693,Zenith Institute,SA,SME,Education,POS Acceptance,POS Terminal,T+2,Reem Al-Ghamdi,2022-04-06,2022-05-05
M00243,SA575207038,Falcon Cargo,SA,B2B,Logistics,B2B Collections,Payment Links,Weekly,Reem Al-Ghamdi,2022-04-08,2022-04-17
M00244,EG508110442,Palm Distribution,EG,B2B,Distribution & Wholesale,B2B Collections,Payment Links,T+1,Nadia Fouad,2022-04-13,2022-04-17
M00245,EG259754316,Coral Games,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Mai Ragab,2022-04-17,2022-07-06
M00246,EG550259154,Royal Cloud,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Mai Ragab,2022-04-19,2022-06-20
M00247,SA352518639,Horizon Legal,SA,B2B,Professional Services,B2B Collections,Direct API,T+1,Turki Al-Shammari,2022-04-20,2022-07-07
M00248,SA716580826,Royal Roastery,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,Instant,Omar Al-Anazi,2022-04-23,2022-05-12
M00249,EG246247584,Urban Services,EG,B2B,Professional Services,B2B Collections,Payment Links,Weekly,Karim Ezzat,2022-04-29,2022-05-02
M00250,AE889475271,Sand Kitchen,AE,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Layla Haddad,2022-05-01,2022-05-25
M00251,EG584658548,Horizon Bakery,EG,SME,Food & Beverage,Payment Links,Payment Links,T+1,Karim Ezzat,2022-05-01,2022-05-05
M00252,SA577673991,Crescent Labs,SA,SME,Healthcare,Online Checkout,E-commerce Plugin,T+1,Omar Al-Anazi,2022-05-06,2022-05-11
M00253,SA251636450,Nova Kitchen,SA,SME,Food & Beverage,Online Checkout,Hosted Checkout,T+2,Omar Al-Anazi,2022-05-06,2022-06-07
M00254,EG237932689,Green Kitchen,EG,SME,Food & Beverage,Online Checkout,Direct API,T+1,Hany Soliman,2022-05-16,2022-07-20
M00255,EG310107271,Palm Partners,EG,SME,Professional Services,POS Acceptance,POS Terminal,T+2,Nadia Fouad,2022-05-17,2022-06-07
M00256,EG309629254,Falcon Freight,EG,B2B,Logistics,B2B Collections,Payment Links,Weekly,Mai Ragab,2022-05-17,
M00257,AE584770998,Zenith Boutique,AE,SME,Retail,Payment Links,Payment Links,T+1,Yousef Al-Marri,2022-05-21,2022-05-28
M00258,EG614021979,Coral Power,EG,B2B,Telecom & Utilities,Payment Links,Payment Links,Weekly,Nadia Fouad,2022-05-22,2022-05-25
M00259,EG509980512,Swift Kitchen,EG,Online,Food & Beverage,Online Checkout,E-commerce Plugin,T+1,Nadia Fouad,2022-05-22,2022-06-02
M00260,AE937738745,Blue Market,AE,Enterprise,Retail,Payment Links,Payment Links,T+1,Layla Haddad,2022-05-23,2022-05-28
M00261,AE205330599,Silver Boutique,AE,SME,Retail,Online Checkout,Direct API,T+1,Yousef Al-Marri,2022-05-23,2022-09-08
M00262,AE688405384,Horizon Cart,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Yousef Al-Marri,2022-05-24,
M00263,EG400875498,Prime Advisory,EG,SME,Professional Services,Payment Links,Payment Links,T+2,Mai Ragab,2022-05-24,2022-06-02
M00264,AE360087333,Blue Digital,AE,Online,Digital Services,Subscriptions,Direct API,T+1,Layla Haddad,2022-05-26,2022-06-30
M00265,SA582972742,Green Medical,SA,SME,Healthcare,Payment Links,Payment Links,Instant,Reem Al-Ghamdi,2022-05-26,2022-05-31
M00266,SA597581402,Green Cafe,SA,SME,Food & Beverage,Online Checkout,Direct API,T+2,Turki Al-Shammari,2022-05-27,
M00267,OM958516072,Crescent Trading,OM,B2B,Distribution & Wholesale,Payment Links,Payment Links,T+1,Salim Al-Harthy,2022-05-29,2022-06-01
M00268,EG304469248,Falcon Institute,EG,SME,Education,Payment Links,Payment Links,T+2,Karim Ezzat,2022-06-01,2022-06-10
M00269,EG249264164,Royal Pharmacy,EG,SME,Healthcare,POS Acceptance,POS Terminal,T+2,Nadia Fouad,2022-06-09,2022-06-23
M00270,AE521533668,Nova Online,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Yousef Al-Marri,2022-06-11,2022-07-12
M00271,EG511893937,Cedar Medical,EG,SME,Healthcare,Online Checkout,Direct API,T+2,Hany Soliman,2022-06-13,2022-10-08
M00272,AE934873526,Nova Partners,AE,SME,Professional Services,POS Acceptance,POS Terminal,T+2,Layla Haddad,2022-06-14,2022-07-17
M00273,SA955742346,Sand Schools,SA,Online,Education,Online Checkout,Direct API,T+2,Reem Al-Ghamdi,2022-06-18,2022-07-20
M00274,SA110751010,Falcon Games,SA,Online,Digital Services,Subscriptions,Direct API,T+2,Omar Al-Anazi,2022-06-19,2022-08-05
M00275,SA414248851,Pearl Care,SA,Enterprise,Healthcare,POS Acceptance,POS Terminal,T+1,Omar Al-Anazi,2022-06-21,2022-07-20
M00276,OM909997571,Horizon EdTech,OM,SME,Education,Payment Links,Payment Links,Instant,Salim Al-Harthy,2022-06-23,2022-06-27
M00277,EG724883181,Horizon Cloud,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Hany Soliman,2022-06-24,2022-09-23
M00278,SA434781636,Nova Mart,SA,SME,Retail,POS Acceptance,POS Terminal,Instant,Turki Al-Shammari,2022-06-26,2022-07-10
M00279,EG435300882,Green Grill,EG,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Mai Ragab,2022-06-27,2022-07-07
M00280,EG728794730,Falcon Telecom,EG,B2B,Telecom & Utilities,B2B Collections,Payment Links,T+1,Karim Ezzat,2022-06-28,2022-06-30
M00281,SA847687864,Royal Labs,SA,SME,Healthcare,POS Acceptance,POS Terminal,T+2,Turki Al-Shammari,2022-06-29,2022-07-12
M00282,EG248756723,Metro Cafe,EG,SME,Food & Beverage,Payment Links,Payment Links,T+2,Nadia Fouad,2022-07-01,2022-07-11
M00283,EG488319036,Golden Streaming,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Karim Ezzat,2022-07-01,2022-09-20
M00284,EG874835199,Golden Kitchen,EG,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Karim Ezzat,2022-07-03,2022-08-07
M00285,SA860742247,Zenith Medical,SA,Enterprise,Healthcare,Online Checkout,E-commerce Plugin,Weekly,Turki Al-Shammari,2022-07-04,2022-07-11
M00286,EG758836714,Urban Clinics,EG,SME,Healthcare,POS Acceptance,POS Terminal,T+2,Hany Soliman,2022-07-08,2022-08-09
M00287,OM781490538,Horizon Academy,OM,Online,Education,Online Checkout,Direct API,T+2,Salim Al-Harthy,2022-07-10,2022-08-25
M00288,SA586124263,Pearl Kitchen,SA,SME,Food & Beverage,Online Checkout,Hosted Checkout,T+2,Turki Al-Shammari,2022-07-12,2022-08-13
M00289,EG730609269,Palm Consulting,EG,SME,Professional Services,Online Checkout,Direct API,T+2,Nadia Fouad,2022-07-14,2022-09-10
M00290,AE738504243,Prime Online,AE,Online,E-commerce,Online Checkout,E-commerce Plugin,T+1,Layla Haddad,2022-07-14,2022-07-24
M00291,OM214883127,Blue Bakery,OM,SME,Food & Beverage,POS Acceptance,POS Terminal,T+1,Salim Al-Harthy,2022-07-18,2022-08-13
M00292,EG345706176,Oasis Partners,EG,SME,Professional Services,POS Acceptance,POS Terminal,Instant,Karim Ezzat,2022-07-19,2022-08-05
M00293,AE436682771,Metro Care,AE,SME,Healthcare,POS Acceptance,POS Terminal,T+1,Yousef Al-Marri,2022-07-22,2022-08-16
M00294,AE784175593,Horizon Basket,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Yousef Al-Marri,2022-07-23,
M00295,EG342155019,Swift Trading,EG,B2B,Distribution & Wholesale,B2B Collections,Payment Links,T+1,Nadia Fouad,2022-07-24,2022-07-26
M00296,SA363626228,Metro Trading,SA,B2B,Distribution & Wholesale,B2B Collections,Payment Links,Weekly,Reem Al-Ghamdi,2022-07-24,2022-08-01
M00297,EG774885021,Urban Learning,EG,Online,Education,Subscriptions,Direct API,T+1,Nadia Fouad,2022-07-24,2022-09-10
M00298,AE741353303,Silver Apps,AE,Online,Digital Services,Online Checkout,Direct API,T+2,Yousef Al-Marri,2022-07-24,2022-08-30
M00299,SA337097778,Pearl Services,SA,B2B,Professional Services,Payment Links,Payment Links,T+1,Omar Al-Anazi,2022-07-25,2022-08-01
M00300,EG217500923,Green Roastery,EG,Online,Food & Beverage,Online Checkout,Direct API,T+2,Nadia Fouad,2022-07-25,2022-10-22
